Tmx Prolateness Oblateness Size tr Tb
50 1 1 130 2101599470.39951 111
50 1 1 140 68656437801012.4 122
50 1 1 150 9.99999999999999E+017 122
50 1 1 160 9.99999999999999E+017 118
50 1 1 170 9.99999999999999E+017 127
50 1 1 180 9.99999999999999E+017 120
50 1 1 190 9.99999999999999E+017 90
50 1 1 200 0.000417019128148158 20
50 1 1 210 24713824.0289527 41
50 1 1 220 9.99999999999999E+017 106
50 1 1 230 9.99999999999999E+017 98
50 1 1 240 9.99999999999999E+017 111
55 1 1 40 7.9189436396153E-09 25
55 1 1 50 1.1092497378026E-07 20
55 1 1 60 3.23009974535589E-06 25
55 1 1 70 0.000372601384289354 25
55 1 1 80 0.195400690018121 25
55 1 1 90 664.709326322738 25
55 1 1 100 16323434.2443477 25
55 1 1 110 3473131506044.35 81
55 1 1 120 9.99999999999999E+017 98
55 1 1 130 9.99999999999999E+017 111
55 1 1 140 9.99999999999999E+017 122
55 1 1 150 9.99999999999999E+017 122
55 1 1 160 9.99999999999999E+017 118
55 1 1 170 36.3574680677681 127
55 1 1 180 0.000000001 120
55 1 1 190 9.99999999999999E+017 90
55 1 1 200 4.96782449784358 20
55 1 1 210 0.871839947558258 41
55 1 1 220 0.000974262832398739 106
55 1 1 230 1.54595520445043 98
55 1 1 240 73274648056392 111
60 1 1 40 0.000000001 20
60 1 1 50 1.15024252079184E-08 20
60 1 1 60 1.12938228158237E-07 20
60 1 1 70 2.62617744577289E-06 20
60 1 1 80 0.00016079686931369 20
60 1 1 90 0.0365647882312907 20
60 1 1 100 29.7466113131994 20
60 1 1 110 104684.399624052 33
60 1 1 120 1951720333.58896 46
60 1 1 130 213492230103468 56
60 1 1 140 9.99999999999999E+017 65
60 1 1 150 9.99999999999999E+017 73
60 1 1 160 9.99999999999999E+017 80
60 1 1 170 9.99999999999999E+017 87
60 1 1 180 9.99999999999999E+017 52
60 1 1 190 746300.192413743 21
60 1 1 200 0.156831781088045 20
60 1 1 210 3.2043095838936E+015 34
60 1 1 220 9.99999999999999E+017 38
60 1 1 230 1.57918472900845E+016 37
60 1 1 240 1682983.7608097 26
